294,335
450,486
2606,2726
3216,3317
6311,6435
7789,7900
8883,9116
11226,11430
13020,13174
14130,14313
15760,15878
16222,16337
18016,18256
20752,20981
22481,22710
23581,23653
23949,24111
26705,26905
28646,28751
30163,30205
32843,33019
35312,35442
35759,35873
40060,40286
42644,42834
46179,46331
48013,48230
50286,50507
53389,53536
55896,55951
58167,58187
61627,61647
65562,65712
69484,69606
72556,72727
74914,75054
77516,77674
80027,80085
80353,80459
82174,82294
83021,83146
86044,86157
88567,88788
90116,90180
90500,90662
93265,93458
96192,96247
97550,97603
99751,99900
103126,103210
103810,103851
107672,107751
109304,109336
110468,110551
113057,113197
116478,116597
118902,119027
121186,121387
123968,124164
126348,126496
129500,129630
131355,131381
132715,132771
134276,134461
135953,136030
136574,136692
138465,138594
140855,141015
146258,146365
